z1,z2,f1,f2,f3,f4,y1,z3,z4,z5,z6,f5,f6,f7,f8,y2,l0,l1,l2,l3,l4,l5
-0.65,-0.13,0.652439025,0.335964386,-0.299538233,0.552780528,-0.813612008,-0.73,0.4,0.49,0.8,0.074268955,1.318309239,0.808806874,-0.077200264,0.48936238,0.23381518,0.2226183,0.4285537,0.063858464,0.9063196,0.15780443
-0.26,0.82,0.111676363,1.311167751,0.024936099,-2.0301332,0.21126113,-0.18,0.35,-0.01,-1,-0.228983749,1.923936922,-0.52937865,-0.199034352,-0.106265454,-1.737515,1.801019,-0.4511192,0.51921487,-0.36909616,1.0815457
-0.09,-0.02,-0.029735115,-0.234304153,0.025743851,0.586183427,-0.012965415,-0.12,-0.88,0.24,-0.54,1.004138079,1.116188526,-0.928929308,-0.204604272,0.118213507,0.11618225,-1.087908,0.06062858,-0.7893686,-0.3281116,0.45459905
-0.75,0.64,-0.019745002,1.126978999,0.019060488,-0.800200992,-0.351853717,-0.78,0.76,-0.49,-0.58,-0.007177148,2.065195018,-0.981533736,0.001930655,0.020454471,-1.6235223,1.0686016,0.337949,0.39877242,0.26818526,1.3473127
-0.96,-0.55,2.388269117,0.780154321,0.304206174,0.170567628,-0.557956883,0.83,0.16,0.95,-0.75,0.91923245,1.781590771,0.628549905,-1.127971441,1.618555231,-0.2488604,0.20874283,2.5593266,1.2889155,1.5389754,-1.7897773
0.99,-0.3,0.519031825,0.809440599,0.015384362,-0.349397266,0.380742686,0.2,0.58,-0.2,-0.67,0.398814699,2.072526198,0.722880778,0.330358372,0.474283235,1.2463626,0.06096649,-1.0496931,0.36641762,-0.7330713,0.33787408
0.75,-0.85,0.081074542,-0.154887326,-0.403786121,-0.691657314,0.151371354,-0.22,-0.47,-0.68,0.25,0.396861934,1.463217136,0.569164304,0.101194915,0.54742906,2.3492978,0.5442638,-0.66637945,-0.84645087,-1.0380609,0.0212402
0.82,-0.16,0.304834278,0.409598726,-0.03731082,0.098497429,0.521836972,0.01,-0.76,-0.89,-0.79,0.34423422,1.854700457,0.708689882,0.254984053,0.361270957,1.0451485,-0.48154888,-1.1450229,-0.06811241,-0.66683567,0.41320056
-0.43,0.34,-0.017822727,0.195284966,0.156791322,-0.575389737,-0.240970913,-0.37,0.4,0.27,0.48,-0.270141749,0.554798961,0.533035074,-0.237820883,-0.088715476,-1.0666544,-0.092843845,0.4810399,-0.47557303,-0.4042133,0.5750915
-0.56,0.68,0.171195094,1.027092949,-0.402025112,-1.888683238,-0.099559152,0.71,0.59,0.97,0.77,1.734957146,1.836532376,1.784035149,1.094015016,1.074095618,-1.2068956,2.3498654,-0.6261536,0.26840293,0.14576684,0.88941556
-0.15,0.13,0.299086229,0.174302818,-0.084701315,-0.030547262,-0.050666497,0.15,-0.23,0.79,0.85,-0.215469988,0.821976849,-0.384389867,-0.462120776,-0.009505661,-0.13258383,-0.166396,-0.17765722,-0.3015912,-0.0625878,0.30355287
-0.09,0.28,-0.215713106,0.042629589,0.046612091,0.138697365,0.244591945,-0.01,-0.95,0.4,0.32,1.15565922,0.918946589,-0.448704702,0.719164312,0.33710179,-0.43469545,-0.6949089,-0.23576851,-0.6469758,-0.46142387,0.83965087
-0.99,-0.65,2.992384755,0.193454668,0.632162922,0.013278585,-0.649806542,0.82,0.64,0.98,-0.61,2.274917531,2.584675989,0.785842313,-0.896396162,2.486176534,-0.59283495,-0.6199006,3.3324385,1.010533,1.2978714,-3.0710516
0.56,-0.93,0.406075085,-0.630808736,-0.603332743,-0.141971967,-0.326936974,0.68,-0.59,0.45,-0.83,-0.391463338,2.142757194,-3.114817188,-0.250891953,0.16069917,2.651825,0.19995505,-0.7374749,-1.0974286,-0.5683776,-0.5827505
0.99,0.58,2.62116228,1.371149675,-0.022651212,-1.626395409,0.663560563,0.63,-0.32,-0.32,-0.54,0.150525774,1.687240045,0.329132421,2.279243475,1.486754566,-0.3206406,1.1384895,-2.2059195,1.8279252,0.27606162,-1.8141271
0.06,-0.67,0.424991126,-0.686053994,-0.13070322,-0.652416713,-0.464564583,-0.55,0.26,0.2,0.92,-0.136243326,1.445332954,0.608281987,-0.001713169,0.046464606,1.1706117,-0.100989364,0.5840006,-1.168376,-0.7818112,-0.7851803
-0.22,-0.82,1.018815437,-0.752503395,0.3151554,-1.771725325,-0.636847646,-0.69,-0.8,-0.84,0.92,2.226711444,2.556730182,0.882160024,-2.099798706,1.853302504,0.3916183,0.14101225,2.151467,-1.0556501,-1.0989714,-1.8753343
-0.21,0.88,0.740504137,0.931217247,-0.190110221,-1.392777692,0.287415324,0.38,-0.86,-0.56,-0.24,0.239126399,1.586023273,0.655929852,-0.115007669,0.526681564,-1.4280789,1.3239425,-1.117219,0.5238073,0.19510901,0.23136929
-0.81,0.93,0.406451663,1.484841668,-0.386659766,-0.58960421,0.03363699,-0.06,-0.95,-0.16,-0.35,0.622414042,2.686636649,1.043259017,-0.2310021,0.246389176,-1.5659486,1.7596761,-0.7507807,0.9693373,1.1320754,1.3000319
-0.47,0.23,0.417926974,0.569649614,-0.380224394,-0.307992908,0.291622894,0.37,0.83,-0.6,0.02,1.393315495,0.982859068,-0.146920302,-1.218864779,1.026797028,-0.21124539,0.93576497,-0.34283438,0.09767868,0.5412605,0.4992011
0,-0.24,0.320620753,-0.061766609,0.225704628,0.795846627,-0.221280732,0.52,-0.38,0.91,-0.42,-0.031558006,0.085641267,-2.292125081,-0.060069525,0.116634238,0.2998816,-1.3737842,0.55337733,-0.43553135,-0.24717417,0.14477415
-0.14,0.67,0.352376082,0.753769661,0.164866428,-1.467635114,0.207255127,-0.41,0.32,0.99,0.96,0.200500106,1.650895452,-0.007443117,-0.077624476,0.010677729,-1.5078198,0.72259426,-0.26267922,0.16072103,-0.47961712,0.42705548
0.09,-0.59,0.008336274,-0.745546045,-0.302217248,-0.542698238,-0.158284454,-0.43,0.98,-0.26,-0.56,0.066210638,1.834327857,-1.534934263,-0.002086367,0.140370425,1.320486,-0.000853934,0.11580757,-1.4175862,-0.85684776,-0.2735814
0.7,-0.14,0.312709173,0.496330457,0.028795577,1.299054923,0.089385187,-0.02,0.34,0.42,-0.26,0.25000838,0.644802745,0.105306457,0.093778376,0.212395473,1.055164,-1.3455178,-1.0394944,0.14868411,-0.15045185,0.7261424
-0.55,-0.29,0.836894987,-0.087788004,0.256565477,-0.292649191,-0.49372543,-0.45,0.05,-0.18,-0.14,-0.059794553,0.405612733,0.090096531,-0.689579534,0.310081697,-0.31287855,-0.3725742,1.6223303,-0.32938078,-0.032899227,-0.7095801
-0.94,0.83,-0.245572293,1.889432124,-0.519895972,-0.447355161,-0.052336304,0.33,0.04,-0.72,-0.75,0.070641821,1.836336773,0.731457141,0.604660231,0.030513948,-1.2966009,2.298733,-0.657668,1.045256,1.19468,2.4276245
-0.92,0.84,0.085424412,1.472042517,-0.345347396,-0.620036184,0.114829189,0.49,-0.25,-0.33,-0.23,-0.110494634,1.362809606,0.288956689,-0.035649452,-0.451034456,-1.5653995,1.794917,-0.3745928,0.7949173,0.97721714,1.6422023
-0.73,0.3,0.270872739,1.015793441,0.455267383,0.188404923,-0.478202972,-0.06,0.2,-0.53,0.71,0.309346258,1.088696012,-1.470543903,-0.233054894,0.034649454,-1.4744251,-0.30975983,1.4202837,0.5371333,0.32849059,0.99120516
0.14,-0.78,0.548808545,-0.764412691,-0.011650829,-0.967359545,-0.045706109,0.45,0.92,-0.34,-0.72,1.99054262,2.117986675,1.010511039,-0.092331619,1.184771548,1.1883634,-0.11707745,0.8715396,-1.21746,-1.0323609,-1.1041346
0.62,-0.04,0.099576407,0.094650222,-0.056116143,1.739626495,0.219508527,0.02,0.58,-0.57,0.17,0.846346501,0.657385079,-1.013187601,-0.263512368,0.522794169,1.025257,-1.8583143,-1.2715818,-0.29051724,-0.12806435,0.7931115
0.77,-0.51,-0.064740514,0.020120106,-0.256351702,-0.292348793,0.163883284,0.43,-0.15,-0.78,-0.19,0.206783276,0.970004576,0.619508008,-0.233969672,-0.062000076,1.7442294,0.008765535,-0.93503374,-0.6858279,-0.9924937,0.44361252
0.27,0.77,0.994312951,0.853720456,0.25287683,-0.443917394,0.689417661,-0.55,-0.34,-0.57,-0.66,0.961098547,1.41055347,2.41848372,-0.268443685,0.778362301,-1.2761657,-0.31950745,-1.0070049,0.6856659,-0.06623746,-0.04469692
-0.19,-0.72,0.594139618,-0.629341732,0.031571107,-1.642630056,-0.322841416,0.48,0.77,0.81,-0.98,1.730636575,2.126952479,1.539303981,1.140030705,0.95190348,0.65995896,0.54522717,1.4507685,-1.1349937,-1.0006437,-1.1824341
-0.69,-0.89,2.844273575,-0.610337625,0.450679336,-1.478956175,-0.578153623,0.43,-0.73,-0.83,-0.45,-0.031322307,2.118493671,0.729644968,-1.717683564,1.383017003,-0.04417793,0.07022814,3.0840464,-0.004663323,0.24758269,-3.86535
-0.2,0.41,-0.055082146,0.228525391,-0.034836156,-0.635060331,0.139639563,-0.47,0.7,-0.35,-0.88,0.038894311,1.762074702,-1.092495535,-0.068652317,0.126910069,-0.7574115,0.14736971,-0.29497302,-0.4704956,-0.4266123,0.6711572
-0.34,-0.09,0.250693926,0.065516907,0.130221791,-0.448801233,-0.218922671,0.11,-0.49,0.06,-0.25,0.414477774,0.177094376,-0.507087026,0.292181837,0.042585427,-0.2977726,-0.112626396,0.8540676,-0.47731617,-0.3586045,0.11492667
0.74,0.68,1.964685491,1.134250077,0.019411758,-0.914741001,0.773295708,0.71,0.43,-0.29,0.62,1.220289847,1.728115015,-0.236883251,1.031031499,1.176411867,-0.58027554,0.43828738,-1.9733322,1.3638653,0.24484795,-1.056111
-0.03,-0.85,1.091094576,-0.801998878,-0.287551548,-0.944594402,-0.639143078,-0.5,0.61,0.04,0.44,0.049859906,0.91216308,-0.591559598,-0.101463027,0.511002006,1.4948878,0.384578,0.6885434,-1.0019501,-0.4113755,-1.7184554
-0.55,0.6,0.266572197,1.054403904,-0.605575339,-1.31460991,0.267837474,0.47,-0.05,-0.91,0.89,0.172155308,1.543428516,0.414030194,-0.387151519,0.142960126,-0.71926445,2.3065922,-0.98823965,0.39068374,0.57295793,0.9474723
-0.42,-0.93,1.949170525,-1.083357473,0.57756412,-2.262978679,-0.83007725,0.91,-0.62,0.3,-0.15,0.205943299,1.488798928,-1.894755176,-0.631729855,0.89576082,-0.054461267,-0.049813222,3.1071022,-0.97021145,-1.0127133,-3.394195
-0.73,-0.94,2.348198024,-0.356222377,0.621084992,-1.134194393,-1.087048776,0.73,0.69,0.13,0.42,1.943418252,1.960333047,1.311929433,-1.424152971,2.268156691,-0.13302541,-0.20855491,3.4970694,0.037851933,0.09723846,-3.0482335
0.84,-0.08,0.588005795,0.870529394,0.301593803,0.798164356,0.791281756,-0.2,-0.26,0.36,0.33,0.181127622,0.673037391,0.427686245,0.833417293,0.545493026,0.64001817,-1.2056293,-0.76313686,0.5998775,-0.35274196,0.54015243
-0.9,-0.56,2.268337238,0.190494631,0.15626314,-0.299684396,-0.757288988,0.21,-0.36,0.13,-0.57,0.070976286,1.565733788,-1.174483752,-2.142946522,1.056823248,-0.09294067,0.28949857,2.2747123,0.6116755,1.1374454,-2.1877587
-0.97,0.19,0.809192315,0.968737083,-0.155084321,1.716074989,-0.625824974,0.98,0.02,-0.12,-0.39,1.020604628,1.047452268,0.16219443,-0.849341472,0.84600819,-0.46848416,-0.329762,0.57302386,0.88729054,1.8227763,0.7583184
-0.63,-0.95,2.372818591,-0.402651235,0.63573211,-1.611543698,-0.419546056,0.14,-0.13,-0.3,0.06,-0.172894549,1.339424319,-0.008762872,-1.055415001,1.213967861,-0.14506926,0.036158636,3.454501,-0.044752847,-0.16902253,-3.224827
0.62,-0.93,0.460502273,-0.494910697,-0.514019023,-0.152053754,-0.220942525,-0.77,0.37,-0.55,0.59,0.339156609,1.552739651,-2.347124018,0.050898937,0.313986917,2.5861115,0.14577903,-0.6611343,-0.93877494,-0.6032295,-0.5618566
0.05,0.45,-0.014086194,0.631676614,-0.246281082,-0.238213868,0.462415158,-0.91,-0.73,0,-0.08,2.429903758,0.853405467,0.603551749,0.105818249,0.927279906,-0.27402598,0.38713014,-1.1573325,-0.027409289,-0.086862326,1.06128
0.25,-0.58,-0.023405604,-0.586543142,-0.225791316,0.441607693,-0.330897745,0.58,-0.13,-0.95,-0.54,-0.03772311,0.500229951,0.998098844,0.344362001,-0.044078006,1.5184076,-0.7922508,-0.12738566,-1.1726898,-0.6176954,0.081224516
-0.28,0.31,0.187909998,0.092036345,0.345014383,-0.579634404,-0.034756004,-0.15,0.78,-0.34,0.99,0.140401641,1.702152945,-2.372492337,0.010337799,-0.016690682,-1.1483897,-0.5323577,0.63688344,-0.46923432,-0.60343933,0.20477264
-0.86,0.5,0.139410923,1.217597847,-0.036629881,-0.196598637,-0.517705871,-0.51,-0.93,0.36,-0.77,2.266994456,2.369002389,-0.971303167,0.569323577,1.2682587,-1.3220352,0.8991961,0.50008774,0.61739206,0.7208792,1.3529035
0.71,-0.88,0.429378517,-0.465065631,-0.400567813,-0.975849844,-0.466787872,-0.3,-0.09,-0.78,0.91,0.079978326,2.368277498,0.391815307,-0.169994351,0.15364364,2.2910056,0.5268294,-0.53811026,-1.0058937,-1.064064,-0.6963018
-0.62,0.54,0.044103839,1.079464764,-0.152938024,-0.833708295,-0.235286918,0.51,0.32,-0.87,0.62,0.494692724,0.863661239,-1.208200326,0.020905679,0.231567834,-1.1607386,1.3100381,-0.031947304,0.3704731,0.3101239,1.2387835
-0.93,-0.46,1.805461182,0.44362657,-0.047421433,0.43128289,-0.710607804,-0.07,0.78,0.3,0.68,0.276895721,2.064495234,1.256199611,-1.509947326,1.145061118,0.13972883,0.25967717,1.7287208,0.70445144,1.4678447,-1.231298
0.15,-0.22,-0.070612701,-0.523669846,0.176733963,1.352506385,0.124597142,0.74,0.19,-0.2,0.59,0.949126227,0.691592133,-0.002347998,0.051688627,0.414292944,0.55352324,-2.151673,0.14555326,-1.0078974,-0.50138533,0.36967716
-0.83,-0.83,2.537370776,-0.380132616,0.453657919,-0.5790889,-0.3447559,0.47,0.65,0.6,-0.58,1.043431867,2.005031752,0.931513927,-1.575221334,1.663598078,-0.07337193,-0.36413303,3.104262,0.16451447,0.61519855,-3.115443
-0.81,0.68,-0.238636033,1.512857807,-0.406511542,-0.744344452,-0.271372599,0.95,-0.55,0.87,0.27,-0.094415642,1.246005774,-1.042030754,0.474849923,-0.367817217,-1.1706904,2.0315752,-0.40236285,0.65436214,0.7308322,2.008842
0.6,0.12,0.644482298,0.615953003,-0.025788904,1.434608781,0.56180806,0.78,-0.29,0.91,0.51,0.362898612,0.775168298,-0.919819288,0.820834988,0.847904452,0.6679208,-1.321929,-1.3741106,0.4483883,0.27077597,0.516823
-0.02,0.01,0.116333162,-0.117648673,-0.181121223,0.759237167,-0.125868192,-0.49,0.88,-0.15,0.49,-0.087241545,0.956993918,-1.784058767,0.020719057,0.23586753,0.41664556,-0.8348498,-0.49048597,-0.59416664,-0.012344497,0.45321184
-0.52,0.94,0.435311764,1.210190241,-0.393894512,-1.847975787,0.179494139,0.32,0.77,-0.47,-0.46,1.12361237,2.125450985,0.513432008,-0.934823369,0.478731514,-1.5760008,2.328085,-1.0361431,0.5887742,0.3719912,0.77140796
-0.3,-0.33,0.245978842,-0.150885289,0.236626626,-0.409849166,-0.611238324,-0.96,0.12,0.22,-0.64,0.704247692,0.43882197,-0.639930096,0.154777784,0.26462618,-0.033765018,-0.40532336,1.3076998,-0.690044,-0.57973605,-0.10247299
0.46,0.78,1.87542149,1.085280867,0.051076887,-0.327860132,0.324202853,0.98,-0.05,0.26,-0.34,0.775832927,0.976283843,-0.462383673,0.96710444,1.442429617,-0.8861018,0.010026834,-1.7162834,1.3406835,0.5760804,-0.84133077
-0.87,0.44,0.127422458,1.372148439,0.211598721,0.024634447,-0.370692121,-0.48,-0.1,0.24,-0.04,0.325581208,1.095325464,0.051750626,-0.077271885,0.108828863,-1.508655,0.4948228,1.0231744,0.78858906,0.65449756,1.4788092
-0.77,0.86,0.322981656,1.504197125,-0.62328711,-1.08160844,-0.193622124,0.33,-0.88,-0.36,0.15,0.5702547,2.336544368,-0.043821445,-0.77848973,0.44965086,-1.2159516,2.5230865,-1.0769848,0.8837495,1.0733699,1.339028
0.23,0.82,1.015942831,0.853934332,0.157497073,-0.149911559,0.524289122,0.7,0.78,-0.87,0.67,2.087021169,1.561370952,-0.388764866,-1.680152352,1.714284318,-1.2107422,-0.3832946,-1.2322384,0.7264156,0.16714591,0.02151279
0.21,0.98,1.269003342,0.972330387,0.030373015,0.147680281,0.454497107,-0.68,0.64,-0.58,0.54,-0.250261432,1.990457753,-2.721327269,0.443618139,0.535128775,-1.2598228,-0.35896826,-1.7018867,0.99698585,0.59861714,-0.067353874
0.94,-0.74,0.089957074,0.35474856,-0.425357593,-1.813114913,0.350139415,0.7,-0.09,-0.69,0.35,0.004750859,1.381660669,-0.827185739,-0.168879675,0.021510691,2.1675293,1.673491,-0.97367936,-0.4683445,-1.3414565,0.18306892
-0.25,0.59,0.321890617,0.202329145,-0.041863868,-1.897266231,0.200603942,-0.98,-0.44,-0.75,-0.47,1.975446777,0.52258989,3.060656525,-1.547278435,1.053948857,-1.3011879,1.0068812,-0.3172433,-0.43849313,-0.6430787,-0.031159867
-0.87,0.61,0.099801915,1.339168935,-0.284410459,-0.43271286,-0.096952362,-0.12,-0.31,0.85,-0.04,0.114448598,1.035786159,-1.114914859,0.143112418,0.089840736,-1.2232594,1.525131,-0.05281752,0.6859818,0.88747233,1.509684
0.08,0.29,0.019794235,0.303000021,-0.138626459,0.956618855,0.41248704,-0.06,-0.75,-0.97,-0.33,0.709118181,0.792869857,1.436024,-0.747613085,0.44179306,0.06526638,-0.8699995,-0.9586558,-0.2023854,0.109826066,0.97329295
0.28,-0.44,-0.242643943,-0.646669792,-0.159428758,0.863435215,0.023622454,-0.25,0.44,0.2,-0.53,-0.056748918,0.68214318,-0.83021396,-0.20344692,0.19725689,1.3280641,-1.3260272,-0.29152676,-1.2825217,-0.66258824,0.39229968
-0.72,0.93,-0.236204043,1.514962723,-0.74336903,-1.052823594,0.097533404,0.17,0.11,0.89,-0.98,-0.017327693,2.443891124,0.389605393,0.030620427,0.086234755,-1.1089898,2.6517396,-1.4494821,0.62547237,0.8637008,2.0434577
0.11,-0.59,0.33093657,-0.708156202,-0.336607689,-0.34728422,-0.258144672,0.83,-0.53,-0.28,-0.32,-0.05426315,0.842620655,-0.132999699,0.239825166,0.098447304,1.4064249,-0.06842222,-0.015160982,-1.2058803,-0.5829761,-0.57557327
-0.6,0,0.557942607,0.532488959,-0.052593922,0.383183559,-0.324189727,-0.35,0.25,0.05,-0.49,-0.093951954,0.7262289,-0.57074737,-0.646364171,0.415308263,-0.2589285,0.032990713,0.66051304,0.20312336,0.6494908,0.3588874
0.69,0.04,0.500041081,0.490981583,0.080275802,1.310959306,0.580344391,0.16,0.96,0.39,0.14,1.286445341,1.367994419,1.823269167,0.786651751,0.91667169,0.7061371,-1.5108795,-1.1832966,0.24603622,-0.06351803,0.5249814
0.67,-0.68,-0.214772972,-0.097269352,-0.028989055,-0.303622401,0.151617123,0.75,-0.76,-0.37,-0.88,-0.075970545,2.626115596,1.556449365,-0.199669811,-0.441648375,1.635599,-0.32387298,-0.13426845,-0.8726472,-1.2628541,0.4578719
-0.14,0.45,0.270708431,0.713368721,0.116663046,-0.91727776,0.228183592,0.55,-0.08,-0.04,-0.46,0.240988371,-0.003106708,-0.255104193,-0.018739307,0.234518099,-1.0124321,0.45648116,-0.12631907,0.12859571,-0.32117265,0.5825088
0.93,-0.82,-0.243978789,0.121485917,-0.021304936,-1.510280042,0.214765865,-0.92,-0.01,0.63,-0.91,1.24513744,2.018630191,-0.863412969,0.543622296,0.699516756,1.8311195,0.6567511,-0.14266153,-0.8108758,-1.8400403,0.36828443
0.96,0.39,1.679886381,1.136455771,0.120682567,-0.654358652,0.56609334,0.89,-0.67,0.49,0.28,0.14422363,1.49962281,-1.090562745,1.461859273,0.792782452,-0.03839782,0.10534217,-1.7447126,1.2461301,-0.08067785,-0.7398822
