2024-02-23 17:00:46 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1604b94f0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-09 17:31:20 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11cc04280>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-09 17:38:51 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106153d00>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 13:50:20 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11fd40dc0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:06:07 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1208cb370>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:09:08 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1280cf730>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:12:53 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1122c0d30>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:15:10 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x120800a30>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:23:26 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x119670d60>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 14:30:42 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11d978d60>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 16:03:09 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x120257070>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 16:06:53 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11e8c24c0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 16:53:09 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x137500d00>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 17:00:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1247c9100>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 17:02:41 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x115158940>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-10 17:03:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1102bc790>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 15:19:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11e2d9e20>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 15:22:26 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1281406d0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 15:46:25 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10e80f400>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:02:27 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11a23cb50>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:06:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11c2d85e0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:18:29 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11da33fd0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:18:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11f338b80>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:21:00 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b8dfdf0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 16:25:15 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11b060550>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 19:04:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x112b409a0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:04:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x119f93d90>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:17:23 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x119589490>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:22:10 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122353490>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:39:40 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1257ce8b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:47:42 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1183b7df0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-13 20:59:27 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11f240dc0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 15:29:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x126600550>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 15:36:22 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1288f3c10>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 15:59:28 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x12f9d9940>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 16:38:20 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1194688b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 17:02:24 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111784a90>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 17:59:06 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10c380370>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:03:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11a2406d0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:15:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11e837dc0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:16:54 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x118cd3490>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:32:12 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10fefa820>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:36:29 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10a2162b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-14 18:48:59 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10fdd00d0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-16 00:28:30 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11fb180d0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-16 00:49:51 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x127d90970>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
